,Area,Latitude,Longitude
172,L. B. Nagar,17.512650000000065,78.44129000000004
173,Bairamalguda,17.33839000000006,78.53802000000007
174,Chintalakunta,17.33955000000003,78.55486000000008
175,Vanasthalipuram,17.322370000000035,78.57615000000004
176,Hastinapuram,17.32830000000007,78.54942000000005
177,Saroornagar,17.35442000000006,78.53921000000008
178,Badangpet,17.293210000000045,78.52583000000004
179,Balapur,17.294620000000066,78.49533000000008
180,Champapet,17.344070000000045,78.52174000000008
181,Jillelguda,17.33540000000005,78.54289000000006
182,Karmanghat,17.340610000000027,78.53258000000005
183,Lingojiguda,17.394890000000032,78.47073000000006
184,Meerpet,17.32898000000006,78.52492000000007
185,Sanghi Nagar,17.442490594983745,78.44127695647443
186,Santoshnagar,17.390870000000064,78.43791000000004
187,Hayathnagar,17.40123020532057,78.48421396503267
188,Ibrahim patnam,17.336398387292558,78.55120669753548
189,Mehdipatnam,17.38638000000003,78.43658000000005
190,Toli chowki,17.398702341603112,78.4153189327286
191,Gudimalkapur,17.375540000000058,78.43714000000006
192,Asif Nagar,17.385370000000023,78.45106000000004
193,Langar Houz,17.394762090845344,78.4270697140148
194,Laxminagar Colony,17.370570000000043,78.54168000000004
195,Mallepally,17.391860000000065,78.45905000000005
196,Padmanabha Nagar Colony,17.391820000000052,78.42867000000007
197,Red Hills,17.400900000000036,78.46661000000006
198,Rajendranagar,17.317120000000045,78.40444000000008
199,Attapur,17.369170000000054,78.43683000000004
200,Bandlaguda,17.368940000000066,78.57179000000008
201,Gandipet,17.374146043040398,78.40102757695966
202,Kismatpur,17.339230000000043,78.37816000000004
203,Narsingi,17.391140000000064,78.35790000000003
204,Puppalguda,17.40088000000003,78.36264000000006
205,Shamshabad,17.316015669058046,78.45492127280183
206,Rajiv Gandhi International Airport,17.239070000000027,78.43150000000009
207,Umdanagar,17.297510000000045,78.41413000000006
